"","gene","LFC"
"1","Amillepora16770",0.138228369547818
"2","Amillepora16769",-0.0440646250539291
"3","Amillepora16774",0.100428459335415
"4","Amillepora16773",-0.0199467485994839
"5","Amillepora16771",-0.0416747825499641
"6","Amillepora16778",-0.300434637145266
"7","Amillepora16777",0.105153471305011
"8","Amillepora16779",-0.0416970245632735
"9","Amillepora16782",-0.0947932516809933
"10","Amillepora16781",-0.419782674440196
"11","Amillepora16793",-0.425967670123963
"12","Amillepora16784",-0.214038762462174
"13","Amillepora16795",0.035324609295312
"14","Amillepora16787",0.366220054040911
"15","Amillepora16794",0.157214715489336
"16","Amillepora16792",0.0903124118702622
"17","Amillepora16791",-0.157873459014522
"18","Amillepora16790",0.186717726570214
"19","Amillepora16788",0.11946033492564
"20","Amillepora16785",-0.172228394364608
"21","Amillepora16796",0.0727158561938359
"22","Amillepora16800",-0.504980040052417
"23","Amillepora16798",-0.0932750058235549
"24","Amillepora16797",0.152503160943832
"25","Amillepora16801",0.0984193969145371
"26","Amillepora16804",0.074273637199508
"27","Amillepora16812",0.118401525691461
"28","Amillepora16808",0.0511129720253567
"29","Amillepora16815",-0.0227548509565967
"30","Amillepora16806",0.225502025823622
"31","Amillepora16813",0.384835938958775
"32","Amillepora16807",0.0718664109309297
"33","Amillepora16814",-0.0375419811381573
"34","Amillepora16811",0.0343962383924565
"35","Amillepora16809",0.0192410711017392
"36","Amillepora16802",0.0857501401233013
"37","Amillepora16803",-0.0157125390905664
"38","Amillepora16810",0.108200641663258
"39","Amillepora16817",-0.294301359278212
"40","Amillepora16818",0.6122423613881
"41","Amillepora16824",-0.156060872830477
"42","Amillepora16816",-0.176575423985794
"43","Amillepora16823",0.0741064057164547
"44","Amillepora16822",-0.0879921189276522
"45","Amillepora16821",0.632789883063531
"46","Amillepora16819",-0.23904279344527
"47","Amillepora16820",0.248586834417452
"48","Amillepora16826",-0.165315664343888
"49","Amillepora16825",0.135617995906619
"50","Amillepora16830",0.264819862958096
"51","Amillepora16831",0.127457069777229
