"","gene","LFC"
"1","Amillepora16770",0.152546645156514
"2","Amillepora16769",0.0285065313547216
"3","Amillepora16774",0.0969735401800899
"4","Amillepora16773",0.0910880888177147
"5","Amillepora16771",-0.113943999020583
"6","Amillepora16778",-0.114335430390072
"7","Amillepora16777",0.058841150533647
"8","Amillepora16779",0.00223347637263117
"9","Amillepora16784",-0.446469808263075
"10","Amillepora16795",-0.170721621802957
"11","Amillepora16787",0.283258331336549
"12","Amillepora16794",0.0762190484311851
"13","Amillepora16792",-0.168638010197013
"14","Amillepora16791",0.408143014933498
"15","Amillepora16785",-0.387667885647359
"16","Amillepora16796",-0.00539110618732302
"17","Amillepora16800",-0.31475987891927
"18","Amillepora16798",0.0806165293406162
"19","Amillepora16797",0.0542343660977635
"20","Amillepora16801",0.0885720015012257
"21","Amillepora16804",-0.138534589280263
"22","Amillepora16812",0.214177719543213
"23","Amillepora16808",-0.168234613344467
"24","Amillepora16815",0.0506316942524185
"25","Amillepora16806",-0.0799346675169341
"26","Amillepora16813",0.294664654631222
"27","Amillepora16807",-0.0229117295639731
"28","Amillepora16814",-0.0303005226376371
"29","Amillepora16811",0.0672282684753216
"30","Amillepora16809",-0.0331016103644997
"31","Amillepora16802",0.118472588746835
"32","Amillepora16803",0.151344767679025
"33","Amillepora16810",0.00302318910965017
"34","Amillepora16817",-0.0656370525516754
"35","Amillepora16818",0.173456448968887
"36","Amillepora16824",-0.243277607683454
"37","Amillepora16816",0.322943541140906
"38","Amillepora16822",0.177455810457941
"39","Amillepora16821",-0.0556481440424424
"40","Amillepora16819",0.112111601669831
"41","Amillepora16820",0.0855866519655189
"42","Amillepora16826",-0.0914568437473644
"43","Amillepora16825",0.2786303862385
"44","Amillepora16830",0.199300818667374
"45","Amillepora16831",-0.30551004335357
"46","Amillepora16829",0.371773089982183
"47","Amillepora16833",-0.0582691993755387
"48","Amillepora16841",0.266761889372113
"49","Amillepora16840",0.400672856243856
"50","Amillepora16836",0.0655456904898629
"51","Amillepora16834",0.0255879446010702
"52","Amillepora16838",-0.446952248694495
"53","Amillepora16839",-0.0777893513756042
"54","Amillepora16837",-2.18340471543371
"55","Amillepora16849",0.089763613045767
"56","Amillepora16846",0.350763278961773
"57","Amillepora16852",-0.456595529979343
"58","Amillepora16848",0.147169298813717
"59","Amillepora16847",-0.124445705691144
"60","Amillepora16850",0.0976209429578392
"61","Amillepora16851",-0.156737327227506
"62","Amillepora16855",-0.203085148057926
"63","Amillepora16858",0.376897995439084
"64","Amillepora16859",0.0573355895631302
"65","Amillepora16853",-0.700178958079996
"66","Amillepora16856",0.308071906234963
"67","Amillepora16854",-0.146119840338407
"68","Amillepora16860",-0.406732409259788
"69","Amillepora16857",0.136042591041916
"70","Amillepora16872",0.0234121497031862
"71","Amillepora16861",0.0769673645629003
"72","Amillepora16863",0.0166051403675142
"73","Amillepora16862",-0.121102361617183
"74","Amillepora16864",0.321446370504794
"75","Amillepora16871",-0.46381119897815
"76","Amillepora16877",-0.0360538463603919
"77","Amillepora16875",0.0717147901071132
"78","Amillepora16874",0.205000491775247
"79","Amillepora16891",-0.354301225007785
"80","Amillepora16888",0.843285089508909
"81","Amillepora16890",0.400751402547938
"82","Amillepora16878",-0.159244540017816
"83","Amillepora16898",0.17205537071558
"84","Amillepora16892",-0.250218959405277
"85","Amillepora16893",0.00657468442418798
"86","Amillepora16899",-0.0812400789392843
"87","Amillepora16897",-0.045589873848414
"88","Amillepora16894",-0.0789964306776484
"89","Amillepora16896",0.199150727413047
"90","Amillepora16900",0.257083164099301
"91","Amillepora16901",-0.120315923651775
"92","Amillepora16903",0.0176017276218556
"93","Amillepora16905",-0.152002540383115
"94","Amillepora16904",-0.00740085182871668
"95","Amillepora16906",-0.229787965962909
"96","Amillepora16914",-0.0844982912210489
"97","Amillepora16913",0.271450364810797
"98","Amillepora16908",0.09696069456019
"99","Amillepora16907",-0.0164144055729982
"100","Amillepora16915",0.177270414963707
"101","Amillepora16918",-0.150493981227122
"102","Amillepora16922",-0.192792716101834
"103","Amillepora16928",0.0428856489098074
"104","Amillepora16926",0.0667823666146563
"105","Amillepora16925",0.222881759165604
"106","Amillepora16923",0.0373366754004067
"107","Amillepora16929",0.229197381428745
"108","Amillepora16931",0.13860964922275
"109","Amillepora16932",0.146925989287189
"110","Amillepora16930",0.205932386088787
"111","Amillepora16933",-0.233250164711993
"112","Amillepora16934",0.0382931591536355
"113","Amillepora16937",-0.0994711504010972
"114","Amillepora16946",0.10088178015223
"115","Amillepora16947",-0.0216538930318669
"116","Amillepora16939",-0.0877002998050492
"117","Amillepora16941",0.111696359612549
"118","Amillepora16936",-0.0532679444005389
"119","Amillepora16944",0.233184182006828
"120","Amillepora16943",0.0419116512041402
"121","Amillepora16940",0.00708855008764398
"122","Amillepora16945",-0.21485708889215
"123","Amillepora16948",-0.110479810869928
"124","Amillepora16958",-0.0316787603758074
"125","Amillepora16949",-0.120072863452909
"126","Amillepora16956",-0.258638647195868
"127","Amillepora16952",-0.112690426486126
"128","Amillepora16950",0.146543102579638
"129","Amillepora16951",0.13901227675044
"130","Amillepora16953",-0.170122560157558
"131","Amillepora16957",-0.0779520231330403
"132","Amillepora16968",-0.142958186014136
"133","Amillepora16964",-0.0367465423789776
"134","Amillepora16961",-0.0997602004084635
"135","Amillepora16959",-0.143732761136271
"136","Amillepora16965",-1.50398520372857
"137","Amillepora16962",-0.0639815089498042
"138","Amillepora16977",-0.0434335141433242
"139","Amillepora16972",-0.209646221473984
"140","Amillepora16974",1.00544878170476
"141","Amillepora16975",-0.207817650311041
"142","Amillepora16979",0.182530400201598
"143","Amillepora16978",-0.00356324388559683
"144","Amillepora16976",-0.0674713858938301
"145","Amillepora16985",0.0399301583544042
"146","Amillepora16984",-0.245582529767598
"147","Amillepora16988",-0.153991084236287
"148","Amillepora16982",-0.0769649799127557
"149","Amillepora16983",0.254399559863604
"150","Amillepora16991",0.133165723152632
"151","Amillepora16987",0.230439774892841
"152","Amillepora16986",-0.0133891761859128
"153","Amillepora16981",-0.093119401418726
"154","Amillepora16989",0.161135731614025
"155","Amillepora16993",-0.221387496117732
"156","Amillepora16999",-0.0841211364339984
"157","Amillepora16997",0.0473359710918718
"158","Amillepora16996",-0.000508952329853885
"159","Amillepora16998",-0.0781239735320253
"160","Amillepora16992",-0.0658788647584764
"161","Amillepora16994",-0.134214628662783
"162","Amillepora16995",-0.0974437821304506
"163","Amillepora17005",-0.0649076792419409
"164","Amillepora17002",-0.0444361673125686
"165","Amillepora17007",0.0123311336768094
"166","Amillepora17009",0.164476422830309
"167","Amillepora17010",-0.0805679608172803
"168","Amillepora17001",-0.000897070667175011
"169","Amillepora17004",-0.0629735304703706
"170","Amillepora17008",0.27622451404851
"171","Amillepora17016",0.0708954485538612
"172","Amillepora17021",0.209604168036078
"173","Amillepora17018",0.0107963327287314
"174","Amillepora17017",-0.399038988573119
"175","Amillepora17015",0.137936701557078
"176","Amillepora17013",-0.136015140276121
"177","Amillepora17014",-0.153225158611154
"178","Amillepora17012",-0.00667544224185376
"179","Amillepora17019",0.405658001149633
"180","Amillepora17025",0.364809297972006
"181","Amillepora17022",-0.0247803386679319
"182","Amillepora17023",0.00330217429938537
"183","Amillepora17026",0.0892870860816788
"184","Amillepora17037",0.222717308844716
"185","Amillepora17035",0.196175592730637
"186","Amillepora17033",-0.0165245835081331
"187","Amillepora17034",0.366411609404708
"188","Amillepora17031",-0.0563828333743712
"189","Amillepora17044",-0.249854343059697
"190","Amillepora17041",0.225570353171787
"191","Amillepora17040",0.120650601340586
"192","Amillepora17038",-0.152157931771059
"193","Amillepora17042",0.572597614857868
"194","Amillepora17039",0.100132374756453
"195","Amillepora17043",0.538404385488752
"196","Amillepora17045",-0.0362683536407501
"197","Amillepora17046",0.181234874450419
