"","gene","LFC"
"1","Amillepora16770",-0.201695690760221
"2","Amillepora16769",-0.0703761127723874
"3","Amillepora16774",-0.170511742943264
"4","Amillepora16773",0.00525198544773698
"5","Amillepora16771",0.0616162069009664
"6","Amillepora16778",-0.810327844051518
"7","Amillepora16777",0.0287250420042958
"8","Amillepora16779",-0.0838415977270843
"9","Amillepora16784",0.0797629218281957
"10","Amillepora16795",0.129503972770141
"11","Amillepora16787",-0.0222953191983413
"12","Amillepora16794",0.0233356518963195
"13","Amillepora16792",0.382696407530119
"14","Amillepora16791",-0.0510533388180242
"15","Amillepora16785",0.385673681313605
"16","Amillepora16796",0.0429331036337232
"17","Amillepora16800",-0.65870101283097
"18","Amillepora16798",-0.019217525900966
"19","Amillepora16797",0.0869336193562746
"20","Amillepora16801",-0.00643413085667513
"21","Amillepora16804",0.160634394491678
"22","Amillepora16812",-0.0542233145153383
"23","Amillepora16808",0.263816556642943
"24","Amillepora16815",0.270740883902213
"25","Amillepora16806",-0.141667514512062
"26","Amillepora16813",-0.257929448175707
"27","Amillepora16807",-0.0955340372097342
"28","Amillepora16814",0.0511023036306226
"29","Amillepora16811",-0.144546594573792
"30","Amillepora16809",-0.0110649372635255
"31","Amillepora16802",0.363254895599731
"32","Amillepora16803",0.158391757825929
"33","Amillepora16810",0.0587342507973433
"34","Amillepora16817",0.0174514042519967
"35","Amillepora16818",0.922704027070879
"36","Amillepora16824",0.401757734205508
"37","Amillepora16816",-0.0392739260717657
"38","Amillepora16822",0.100991572065427
"39","Amillepora16821",0.0871430359945495
"40","Amillepora16819",1.08898478748445
"41","Amillepora16820",0.170790588394423
"42","Amillepora16826",0.148837012496741
"43","Amillepora16825",0.107755556936303
"44","Amillepora16830",0.25210067391717
"45","Amillepora16831",-0.413875561362743
"46","Amillepora16829",-0.188257955375509
"47","Amillepora16833",0.0536901646164494
"48","Amillepora16841",0.0266381774762046
"49","Amillepora16843",-0.978921925273915
"50","Amillepora16840",-0.754953503030646
"51","Amillepora16836",-0.205487073141843
"52","Amillepora16834",-0.518096974883155
"53","Amillepora16838",-0.681631978327783
"54","Amillepora16839",0.0980635142770374
"55","Amillepora16837",0.979485335334032
"56","Amillepora16849",0.885643794682772
"57","Amillepora16846",0.425156002332295
"58","Amillepora16852",-0.367627508227971
"59","Amillepora16848",0.403117021703165
"60","Amillepora16847",0.478493429053535
"61","Amillepora16850",0.173739673953462
"62","Amillepora16851",-0.0387973493854687
"63","Amillepora16855",-0.702399806203923
"64","Amillepora16858",-0.160633406720717
"65","Amillepora16859",-0.0144906621480871
"66","Amillepora16853",0.795389744867598
"67","Amillepora16856",0.337674011746322
"68","Amillepora16854",0.139126260881004
"69","Amillepora16860",0.137779393912432
"70","Amillepora16857",-0.421401014893265
"71","Amillepora16872",-0.060109050335571
"72","Amillepora16861",0.137048033332392
"73","Amillepora16863",-0.0247947015590337
"74","Amillepora16862",0.0346880245870401
"75","Amillepora16864",-0.406198124408634
"76","Amillepora16871",-0.860070575818636
"77","Amillepora16877",0.284555316704633
"78","Amillepora16875",0.0551445260072672
"79","Amillepora16874",-0.0603976730663264
"80","Amillepora16891",-0.236182618966723
"81","Amillepora16888",-0.330672092287071
"82","Amillepora16890",0.214144075115883
"83","Amillepora16878",-0.231279777005051
"84","Amillepora16898",0.0754051345547695
"85","Amillepora16892",0.307654346318178
"86","Amillepora16893",-0.0788775308483863
"87","Amillepora16899",0.0454143015334756
"88","Amillepora16897",-0.0973231466360454
"89","Amillepora16894",-0.736423206424412
"90","Amillepora16896",-0.347487674433673
"91","Amillepora16900",0.316367729293169
"92","Amillepora16901",0.0517518355740742
"93","Amillepora16903",0.00955365857825927
"94","Amillepora16905",0.151709824912611
"95","Amillepora16904",0.223185637302618
"96","Amillepora16906",-0.0837127720906727
"97","Amillepora16914",-0.258171290945397
"98","Amillepora16913",-0.330105489899362
"99","Amillepora16908",-0.379801732254192
"100","Amillepora16907",0.413492470050894
"101","Amillepora16915",-1.63062367100027
"102","Amillepora16918",-0.0848870749563323
"103","Amillepora16922",0.00903148985268599
"104","Amillepora16928",0.0836486054075925
"105","Amillepora16926",0.284378343992495
"106","Amillepora16925",0.0976268093337425
"107","Amillepora16923",0.0715321939873121
"108","Amillepora16929",0.0383216789650879
"109","Amillepora16931",0.0735560424928249
"110","Amillepora16932",0.0301868934792798
"111","Amillepora16930",-0.0815815589477513
"112","Amillepora16933",0.0452714343081929
"113","Amillepora16934",0.0956007179177039
"114","Amillepora16937",-0.0087832231220264
"115","Amillepora16946",-0.155201649361278
"116","Amillepora16947",-0.269923825317212
"117","Amillepora16939",0.0544247090010053
"118","Amillepora16941",-0.0548841612457993
"119","Amillepora16936",-0.075502284830134
"120","Amillepora16944",0.0954491776249688
"121","Amillepora16943",0.193677869084963
"122","Amillepora16940",0.0141883355663378
"123","Amillepora16945",0.285257171202303
"124","Amillepora16948",-0.198741193806272
"125","Amillepora16958",0.378204262454293
"126","Amillepora16949",0.151104943534688
"127","Amillepora16956",-0.354717995612108
"128","Amillepora16952",-0.070374670531063
"129","Amillepora16950",-0.0341464168219135
"130","Amillepora16951",0.0563432754674628
